seed,condition,facts,item,depth,stem,correct,wrong,margin
0,warm,A,3,0.2727,The eastern pumping station runs on circuit label,MU37,CA25,-0.6086015701293945
0,warm,A,4,0.3636,The radio operator's logbook continues in volume,SE46,WG87,0.9058055877685547
0,warm,A,5,0.4545,The survey team's theodolite bears serial number,ED89,UD60,0.6318879127502441
0,warm,A,6,0.5455,The seismograph at Ridge Camp reports as instrument,JT87,CM24,0.4971122741699219
0,warm,A,7,0.6364,The winter quarters roof panel came from batch,LR81,BV12,-0.9400277137756348
0,warm,A,8,0.7273,The customs declaration quotes reference code,DM65,GF25,0.20755720138549805
0,warm,A,9,0.8182,The reserve fuel depot is listed at site code,LV91,RG17,-0.08301687240600586
0,warm,A,10,0.9091,The ice core drilling rig was delivered as unit,GT71,PV22,1.3010683059692383
0,warm,A,11,1.0,The mail packet from Vlissen came in pouch number,QS43,JC38,-1.183499813079834
0,warm,B,0,0.0,The freight siding at Kelder appears on the plan as track,BT11,CW48,20.205360517138615
0,warm,B,1,0.0909,The auxiliary generator was tagged asset number,AV73,MP33,16.639527605846524
0,warm,B,2,0.1818,Feld's field notebook carries catalogue reference,LH51,BS69,14.92000201717019
0,warm,B,3,0.2727,Ansel's transit permit was issued as document number,ET67,BV22,17.094024346675724
0,warm,B,4,0.3636,The winter supply manifest lists lot number,CC50,JM70,16.85349678620696
0,warm,B,5,0.4545,The medical supply locker was closed with seal number,SR23,UF99,19.21314342180267
0,warm,B,6,0.5455,The archive microfilm reel is filed under shelf mark,KT47,LS42,14.069661607965827
0,warm,B,7,0.6364,The meteorological buoy broadcasts on transponder code,LT36,DV66,14.842100460547954
0,warm,B,8,0.7273,The observatory's spare mirror was ordered as part number,VT85,RX62,16.80546564492397
0,warm,B,9,0.8182,The lighthouse relief roster follows schedule,FG33,US49,17.01213684421964
0,warm,B,10,0.9091,The northern relay station operates under callsign,BV94,WM59,18.51188160618767
0,warm,B,11,1.0,The telegraph repeater hut answers to station code,JR18,TY11,16.492590040899813
0,mismatched,A,0,0.0,The quartermaster's tally sheet uses form number,NP15,PB22,-1.587965965270996
0,mismatched,A,1,0.0909,The diesel storage tank is stencilled vessel number,JS72,BU91,-0.9080986976623535
0,mismatched,A,2,0.1818,The harbour pilot's licence shows registration code,NK71,TV97,0.3174781799316406
0,mismatched,A,3,0.2727,The eastern pumping station runs on circuit label,MU37,CA25,-0.6497235298156738
0,mismatched,A,4,0.3636,The radio operator's logbook continues in volume,SE46,WG87,0.6743736267089844
0,mismatched,A,5,0.4545,The survey team's theodolite bears serial number,ED89,UD60,0.7859644889831543
0,mismatched,A,6,0.5455,The seismograph at Ridge Camp reports as instrument,JT87,CM24,0.8907852172851562
0,mismatched,A,7,0.6364,The winter quarters roof panel came from batch,LR81,BV12,-0.15765762329101562
0,mismatched,A,8,0.7273,The customs declaration quotes reference code,DM65,GF25,0.4172816276550293
0,mismatched,A,9,0.8182,The reserve fuel depot is listed at site code,LV91,RG17,0.5326647758483887
0,mismatched,A,10,0.9091,The ice core drilling rig was delivered as unit,GT71,PV22,0.02712392807006836
0,mismatched,A,11,1.0,The mail packet from Vlissen came in pouch number,QS43,JC38,-1.0386481285095215
0,mismatched,B,0,0.0,The freight siding at Kelder appears on the plan as track,BT11,CW48,21.264813686255366
0,mismatched,B,1,0.0909,The auxiliary generator was tagged asset number,AV73,MP33,16.93586210021749
0,mismatched,B,2,0.1818,Feld's field notebook carries catalogue reference,LH51,BS69,14.363901890814304
0,mismatched,B,3,0.2727,Ansel's transit permit was issued as document number,ET67,BV22,17.523355580866337
0,mismatched,B,4,0.3636,The winter supply manifest lists lot number,CC50,JM70,17.797668403596617
0,mismatched,B,5,0.4545,The medical supply locker was closed with seal number,SR23,UF99,20.11309764161706
0,mismatched,B,6,0.5455,The archive microfilm reel is filed under shelf mark,KT47,LS42,15.61973422486335
0,mismatched,B,7,0.6364,The meteorological buoy broadcasts on transponder code,LT36,DV66,15.331254045944661
0,mismatched,B,8,0.7273,The observatory's spare mirror was ordered as part number,VT85,RX62,19.171970741881523
0,mismatched,B,9,0.8182,The lighthouse relief roster follows schedule,FG33,US49,18.306170400581323
0,mismatched,B,10,0.9091,The northern relay station operates under callsign,BV94,WM59,20.10097455617506
0,mismatched,B,11,1.0,The telegraph repeater hut answers to station code,JR18,TY11,17.089752169325948
1,cold,A,0,0.0,The cartography office safe opens with combination,EU18,TG74,-0.6523137092590332
1,cold,A,1,0.0909,The lighthouse relief roster follows schedule,JD73,PR55,-0.7163944244384766
1,cold,A,2,0.1818,The sealed crate in the annex is marked with inventory tag,QR93,PM10,0.9619574546813965
1,cold,A,3,0.2727,The telegraph repeater hut answers to station code,NG22,TT89,-0.8118195533752441
1,cold,A,4,0.3636,The customs declaration quotes reference code,RA59,VL68,0.3954811096191406
1,cold,A,5,0.4545,The seismograph at Ridge Camp reports as instrument,PV10,VA39,0.06466817855834961
1,cold,A,6,0.5455,The archive microfilm reel is filed under shelf mark,DL13,WF80,0.011017799377441406
1,cold,A,7,0.6364,The radio operator's logbook continues in volume,AA93,UF21,-0.20294475555419922
1,cold,A,8,0.7273,The expedition's spare sledge carries equipment tag,TA58,TJ14,-0.8038663864135742
1,cold,A,9,0.8182,The quartermaster's tally sheet uses form number,HQ73,XC20,0.6189069747924805
1,cold,A,10,0.9091,The hydrographic chart set reached edition,TH54,AQ11,-1.4763431549072266
1,cold,A,11,1.0,Feld's field notebook carries catalogue reference,HX38,DV33,-0.9328656196594238
1,cold,B,0,0.0,The reserve fuel depot is listed at site code,PT92,MK18,15.427631020313129
1,cold,B,1,0.0909,The botanical specimen case holds accession number,DF90,FF42,15.546438196557574
1,cold,B,2,0.1818,The border checkpoint ledger opens at entry code,PS95,SF94,14.83208699314855
1,cold,B,3,0.2727,The winter supply manifest lists lot number,GK46,JW47,15.85219765896909
1,cold,B,4,0.3636,The mail packet from Vlissen came in pouch number,UR74,RR24,15.989040410029702
1,cold,B,5,0.4545,The medical supply locker was closed with seal number,NU14,AK59,14.015486875548959
1,cold,B,6,0.5455,The harbour pilot's licence shows registration code,RH61,LP34,15.546179213095456
1,cold,B,7,0.6364,The signal lamp housing takes fitting code,PX32,JD42,15.238164193928242
1,cold,B,8,0.7273,The glacier survey stake is recorded as marker,MT99,VP12,16.42978837271221
1,cold,B,9,0.8182,The northern relay station operates under callsign,CQ94,HA60,17.234369053971022
1,cold,B,10,0.9091,The eastern pumping station runs on circuit label,SD30,EB30,15.546819865237921
1,cold,B,11,1.0,The observatory's spare mirror was ordered as part number,SN57,XP79,17.950406415155157
1,warm,A,0,0.0,The cartography office safe opens with combination,EU18,TG74,-1.7775979042053223
1,warm,A,1,0.0909,The lighthouse relief roster follows schedule,JD73,PR55,-1.9881830215454102
1,warm,A,2,0.1818,The sealed crate in the annex is marked with inventory tag,QR93,PM10,0.10993623733520508
1,warm,A,3,0.2727,The telegraph repeater hut answers to station code,NG22,TT89,-1.880312442779541
1,warm,A,4,0.3636,The customs declaration quotes reference code,RA59,VL68,1.4486398696899414
1,warm,A,5,0.4545,The seismograph at Ridge Camp reports as instrument,PV10,VA39,0.8417549133300781
1,warm,A,6,0.5455,The archive microfilm reel is filed under shelf mark,DL13,WF80,0.483492374420166
1,warm,A,7,0.6364,The radio operator's logbook continues in volume,AA93,UF21,-0.3356204032897949
1,warm,A,8,0.7273,The expedition's spare sledge carries equipment tag,TA58,TJ14,-1.016441822052002
1,warm,A,9,0.8182,The quartermaster's tally sheet uses form number,HQ73,XC20,1.307194709777832
1,warm,A,10,0.9091,The hydrographic chart set reached edition,TH54,AQ11,1.4684514999389648
1,warm,A,11,1.0,Feld's field notebook carries catalogue reference,HX38,DV33,-0.25707435607910156
1,warm,B,0,0.0,The reserve fuel depot is listed at site code,PT92,MK18,15.039776439778507
1,warm,B,1,0.0909,The botanical specimen case holds accession number,DF90,FF42,12.833563981577754
1,warm,B,2,0.1818,The border checkpoint ledger opens at entry code,PS95,SF94,15.528490205295384
1,warm,B,3,0.2727,The winter supply manifest lists lot number,GK46,JW47,16.10355931846425
1,warm,B,4,0.3636,The mail packet from Vlissen came in pouch number,UR74,RR24,15.959482375183143
1,warm,B,5,0.4545,The medical supply locker was closed with seal number,NU14,AK59,16.865040591917932
1,warm,B,6,0.5455,The harbour pilot's licence shows registration code,RH61,LP34,17.69289369834587
1,warm,B,7,0.6364,The signal lamp housing takes fitting code,PX32,JD42,18.73967206920497
1,warm,B,8,0.7273,The glacier survey stake is recorded as marker,MT99,VP12,16.84659806964919
1,warm,B,9,0.8182,The northern relay station operates under callsign,CQ94,HA60,17.905149546568282
1,warm,B,10,0.9091,The eastern pumping station runs on circuit label,SD30,EB30,16.59470516082365
1,warm,B,11,1.0,The observatory's spare mirror was ordered as part number,SN57,XP79,17.358121624216437
1,mismatched,A,0,0.0,The cartography office safe opens with combination,EU18,TG74,-1.685185432434082
1,mismatched,A,1,0.0909,The lighthouse relief roster follows schedule,JD73,PR55,-2.4324135780334473
1,mismatched,A,2,0.1818,The sealed crate in the annex is marked with inventory tag,QR93,PM10,-0.03677082061767578
1,mismatched,A,3,0.2727,The telegraph repeater hut answers to station code,NG22,TT89,-1.7093582153320312
1,mismatched,A,4,0.3636,The customs declaration quotes reference code,RA59,VL68,1.1918144226074219
1,mismatched,A,5,0.4545,The seismograph at Ridge Camp reports as instrument,PV10,VA39,1.137314796447754
1,mismatched,A,6,0.5455,The archive microfilm reel is filed under shelf mark,DL13,WF80,0.21844911575317383
1,mismatched,A,7,0.6364,The radio operator's logbook continues in volume,AA93,UF21,-0.8593854904174805
1,mismatched,A,8,0.7273,The expedition's spare sledge carries equipment tag,TA58,TJ14,-0.9600930213928223
1,mismatched,A,9,0.8182,The quartermaster's tally sheet uses form number,HQ73,XC20,1.0657882690429688
1,mismatched,A,10,0.9091,The hydrographic chart set reached edition,TH54,AQ11,-0.019436359405517578
1,mismatched,A,11,1.0,Feld's field notebook carries catalogue reference,HX38,DV33,-0.6962037086486816
1,mismatched,B,0,0.0,The reserve fuel depot is listed at site code,PT92,MK18,14.62149611953646
1,mismatched,B,1,0.0909,The botanical specimen case holds accession number,DF90,FF42,12.927241602912545
1,mismatched,B,2,0.1818,The border checkpoint ledger opens at entry code,PS95,SF94,13.832406694069505
1,mismatched,B,3,0.2727,The winter supply manifest lists lot number,GK46,JW47,15.658334858715534
1,mismatched,B,4,0.3636,The mail packet from Vlissen came in pouch number,UR74,RR24,15.369962809141725
1,mismatched,B,5,0.4545,The medical supply locker was closed with seal number,NU14,AK59,16.110305263195187
1,mismatched,B,6,0.5455,The harbour pilot's licence shows registration code,RH61,LP34,16.30292746424675
1,mismatched,B,7,0.6364,The signal lamp housing takes fitting code,PX32,JD42,17.649032791610807
1,mismatched,B,8,0.7273,The glacier survey stake is recorded as marker,MT99,VP12,16.9822462243028
1,mismatched,B,9,0.8182,The northern relay station operates under callsign,CQ94,HA60,16.83985213469714
1,mismatched,B,10,0.9091,The eastern pumping station runs on circuit label,SD30,EB30,15.463065275689587
1,mismatched,B,11,1.0,The observatory's spare mirror was ordered as part number,SN57,XP79,17.487668814137578
2,cold,A,0,0.0,The meteorological buoy broadcasts on transponder code,BC20,AC24,0.00540924072265625
2,cold,A,1,0.0909,The salvage tender was registered with hull number,MF95,CA15,2.242361068725586
2,cold,A,2,0.1818,The medical supply locker was closed with seal number,GV14,JE30,-1.1279282569885254
2,cold,A,3,0.2727,The observatory's spare mirror was ordered as part number,UX30,ZF76,-1.2197117805480957
2,cold,A,4,0.3636,The cartography office safe opens with combination,PW60,YA59,1.9401941299438477
2,cold,A,5,0.4545,Feld's field notebook carries catalogue reference,JB13,UB41,1.004774570465088
2,cold,A,6,0.5455,The reserve fuel depot is listed at site code,MQ50,EB10,2.7105040550231934
2,cold,A,7,0.6364,The telegraph repeater hut answers to station code,NP77,MV90,0.2864689826965332
2,cold,A,8,0.7273,The northern relay station operates under callsign,FT32,KL72,-1.472752571105957
2,cold,A,9,0.8182,The archive microfilm reel is filed under shelf mark,HH13,AK67,-1.6985969543457031
2,cold,A,10,0.9091,The expedition's spare sledge carries equipment tag,FL32,TV15,-0.03224658966064453
2,cold,A,11,1.0,The survey team's theodolite bears serial number,ES75,YE70,0.06818485260009766
2,cold,B,0,0.0,The sealed crate in the annex is marked with inventory tag,MS96,HC94,16.961506555089727
2,cold,B,1,0.0909,The mail packet from Vlissen came in pouch number,TF67,XL23,18.099503204459324
2,cold,B,2,0.1818,The signal lamp housing takes fitting code,MU55,AQ26,19.524558751028962
2,cold,B,3,0.2727,The glacier survey stake is recorded as marker,MQ30,SU60,16.77219953457825
2,cold,B,4,0.3636,The winter quarters roof panel came from batch,NY69,RS51,18.10175610461738
2,cold,B,5,0.4545,Ansel's transit permit was issued as document number,WS41,EL43,18.986837530945195
2,cold,B,6,0.5455,The harbour pilot's licence shows registration code,RJ73,JV63,18.543275725329295
2,cold,B,7,0.6364,The diesel storage tank is stencilled vessel number,SS55,WA99,15.617549054324627
2,cold,B,8,0.7273,The assay laboratory furnace is a model,MU81,TE95,17.545803264714777
2,cold,B,9,0.8182,The coastal watchtower is designated post,JR49,EF31,16.601545315235853
2,cold,B,10,0.9091,The eastern pumping station runs on circuit label,KY74,DQ91,22.984278124407865
2,cold,B,11,1.0,The shipment of core samples travelled under consignment code,TS74,HS14,16.064125346252695
2,warm,A,0,0.0,The meteorological buoy broadcasts on transponder code,BC20,AC24,0.7296757698059082
2,warm,A,1,0.0909,The salvage tender was registered with hull number,MF95,CA15,2.415557384490967
2,warm,A,2,0.1818,The medical supply locker was closed with seal number,GV14,JE30,-2.1183834075927734
2,warm,A,3,0.2727,The observatory's spare mirror was ordered as part number,UX30,ZF76,1.352369785308838
2,warm,A,4,0.3636,The cartography office safe opens with combination,PW60,YA59,1.5072097778320312
2,warm,A,5,0.4545,Feld's field notebook carries catalogue reference,JB13,UB41,-0.12436342239379883
2,warm,A,6,0.5455,The reserve fuel depot is listed at site code,MQ50,EB10,2.356569766998291
2,warm,A,7,0.6364,The telegraph repeater hut answers to station code,NP77,MV90,-0.18457603454589844
2,warm,A,8,0.7273,The northern relay station operates under callsign,FT32,KL72,-1.2659573554992676
2,warm,A,9,0.8182,The archive microfilm reel is filed under shelf mark,HH13,AK67,-1.4574813842773438
2,warm,A,10,0.9091,The expedition's spare sledge carries equipment tag,FL32,TV15,-0.6327528953552246
2,warm,A,11,1.0,The survey team's theodolite bears serial number,ES75,YE70,0.5846390724182129
2,warm,B,0,0.0,The sealed crate in the annex is marked with inventory tag,MS96,HC94,15.48676858143881
2,warm,B,1,0.0909,The mail packet from Vlissen came in pouch number,TF67,XL23,16.83641759492457
2,warm,B,2,0.1818,The signal lamp housing takes fitting code,MU55,AQ26,18.1878634900786
2,warm,B,3,0.2727,The glacier survey stake is recorded as marker,MQ30,SU60,16.802935973973945
2,warm,B,4,0.3636,The winter quarters roof panel came from batch,NY69,RS51,19.01424479961861
2,warm,B,5,0.4545,Ansel's transit permit was issued as document number,WS41,EL43,17.550605001626536
2,warm,B,6,0.5455,The harbour pilot's licence shows registration code,RJ73,JV63,16.21315984125249
2,warm,B,7,0.6364,The diesel storage tank is stencilled vessel number,SS55,WA99,18.180769971571863
2,warm,B,8,0.7273,The assay laboratory furnace is a model,MU81,TE95,16.791731846053153
2,warm,B,9,0.8182,The coastal watchtower is designated post,JR49,EF31,16.71824159787502
2,warm,B,10,0.9091,The eastern pumping station runs on circuit label,KY74,DQ91,24.992227991169784
2,warm,B,11,1.0,The shipment of core samples travelled under consignment code,TS74,HS14,16.800595225999132
2,mismatched,A,0,0.0,The meteorological buoy broadcasts on transponder code,BC20,AC24,0.8714122772216797
2,mismatched,A,1,0.0909,The salvage tender was registered with hull number,MF95,CA15,2.953986167907715
2,mismatched,A,2,0.1818,The medical supply locker was closed with seal number,GV14,JE30,-2.2031445503234863
2,mismatched,A,3,0.2727,The observatory's spare mirror was ordered as part number,UX30,ZF76,1.042314052581787
2,mismatched,A,4,0.3636,The cartography office safe opens with combination,PW60,YA59,1.4701642990112305
2,mismatched,A,5,0.4545,Feld's field notebook carries catalogue reference,JB13,UB41,-0.4135100841522217
2,mismatched,A,6,0.5455,The reserve fuel depot is listed at site code,MQ50,EB10,3.284860610961914
2,mismatched,A,7,0.6364,The telegraph repeater hut answers to station code,NP77,MV90,-0.0497593879699707
2,mismatched,A,8,0.7273,The northern relay station operates under callsign,FT32,KL72,-1.1409902572631836
2,mismatched,A,9,0.8182,The archive microfilm reel is filed under shelf mark,HH13,AK67,-1.4461650848388672
2,mismatched,A,10,0.9091,The expedition's spare sledge carries equipment tag,FL32,TV15,-0.4897465705871582
2,mismatched,A,11,1.0,The survey team's theodolite bears serial number,ES75,YE70,0.25277233123779297
2,mismatched,B,0,0.0,The sealed crate in the annex is marked with inventory tag,MS96,HC94,15.288617451675236
2,mismatched,B,1,0.0909,The mail packet from Vlissen came in pouch number,TF67,XL23,16.14274087548256
2,mismatched,B,2,0.1818,The signal lamp housing takes fitting code,MU55,AQ26,18.334971670992672
2,mismatched,B,3,0.2727,The glacier survey stake is recorded as marker,MQ30,SU60,15.373047673143446
2,mismatched,B,4,0.3636,The winter quarters roof panel came from batch,NY69,RS51,17.855516292969696
2,mismatched,B,5,0.4545,Ansel's transit permit was issued as document number,WS41,EL43,17.53278838098049
2,mismatched,B,6,0.5455,The harbour pilot's licence shows registration code,RJ73,JV63,16.3704173611477
2,mismatched,B,7,0.6364,The diesel storage tank is stencilled vessel number,SS55,WA99,17.687159986700863
2,mismatched,B,8,0.7273,The assay laboratory furnace is a model,MU81,TE95,16.593889063224196
2,mismatched,B,9,0.8182,The coastal watchtower is designated post,JR49,EF31,17.058687032666057
2,mismatched,B,10,0.9091,The eastern pumping station runs on circuit label,KY74,DQ91,22.96072222397197
2,mismatched,B,11,1.0,The shipment of core samples travelled under consignment code,TS74,HS14,16.603743883315474
3,cold,A,0,0.0,The shipment of core samples travelled under consignment code,HU79,SN92,-1.8722400665283203
3,cold,A,1,0.0909,The freight siding at Kelder appears on the plan as track,EM87,DV74,4.453205108642578
3,cold,A,2,0.1818,The signal lamp housing takes fitting code,RW84,JP91,0.4656953811645508
3,cold,A,3,0.2727,The coastal watchtower is designated post,CV11,KP43,-2.867461681365967
3,cold,A,4,0.3636,The winter supply manifest lists lot number,RJ80,SK80,0.048076629638671875
3,cold,A,5,0.4545,The ice core drilling rig was delivered as unit,HG70,LA63,-0.8989086151123047
3,cold,A,6,0.5455,The lighthouse relief roster follows schedule,TT70,UL12,-2.301173210144043
3,cold,A,7,0.6364,The harbour pilot's licence shows registration code,NW29,NV85,0.08127641677856445
3,cold,A,8,0.7273,The cartography office safe opens with combination,HW29,WE17,0.12145614624023438
3,cold,A,9,0.8182,The reserve fuel depot is listed at site code,SN11,WW52,0.4082984924316406
3,cold,A,10,0.9091,The medical supply locker was closed with seal number,XC30,QM96,-1.0385751724243164
3,cold,A,11,1.0,The diesel storage tank is stencilled vessel number,UB48,MV45,0.33149051666259766
3,cold,B,0,0.0,The expedition's spare sledge carries equipment tag,AJ70,UB96,16.324479462578893
3,cold,B,1,0.0909,The border checkpoint ledger opens at entry code,EM22,AM42,13.110029029892758
3,cold,B,2,0.1818,The meteorological buoy broadcasts on transponder code,BE73,UV50,15.875252158846706
3,cold,B,3,0.2727,The northern relay station operates under callsign,PW48,FM33,17.13822654460091
3,cold,B,4,0.3636,The radio operator's logbook continues in volume,PS59,LM86,15.713216980919242
3,cold,B,5,0.4545,The customs declaration quotes reference code,UM78,JK58,17.203474154172
3,cold,B,6,0.5455,The hydrographic chart set reached edition,UP84,DA82,14.639570953440852
3,cold,B,7,0.6364,The assay laboratory furnace is a model,HL97,KS38,17.276109544094652
3,cold,B,8,0.7273,The archive microfilm reel is filed under shelf mark,AJ87,LF96,16.25762837927323
3,cold,B,9,0.8182,The seismograph at Ridge Camp reports as instrument,XY30,PW99,18.282737299101427
3,cold,B,10,0.9091,Ansel's transit permit was issued as document number,KD18,DD86,16.780001187929884
3,cold,B,11,1.0,The botanical specimen case holds accession number,RW71,LL96,18.29916335688904
3,warm,A,0,0.0,The shipment of core samples travelled under consignment code,HU79,SN92,-1.050943374633789
3,warm,A,1,0.0909,The freight siding at Kelder appears on the plan as track,EM87,DV74,2.3162617683410645
3,warm,A,2,0.1818,The signal lamp housing takes fitting code,RW84,JP91,0.8726353645324707
3,warm,A,3,0.2727,The coastal watchtower is designated post,CV11,KP43,-4.289883136749268
3,warm,A,4,0.3636,The winter supply manifest lists lot number,RJ80,SK80,0.021933794021606445
3,warm,A,5,0.4545,The ice core drilling rig was delivered as unit,HG70,LA63,-0.26276540756225586
3,warm,A,6,0.5455,The lighthouse relief roster follows schedule,TT70,UL12,-0.2107400894165039
3,warm,A,7,0.6364,The harbour pilot's licence shows registration code,NW29,NV85,0.06297111511230469
3,warm,A,8,0.7273,The cartography office safe opens with combination,HW29,WE17,-0.42325448989868164
3,warm,A,9,0.8182,The reserve fuel depot is listed at site code,SN11,WW52,1.1839523315429688
3,warm,A,10,0.9091,The medical supply locker was closed with seal number,XC30,QM96,0.011472702026367188
3,warm,A,11,1.0,The diesel storage tank is stencilled vessel number,UB48,MV45,0.6317934989929199
3,warm,B,0,0.0,The expedition's spare sledge carries equipment tag,AJ70,UB96,15.338266998529434
3,warm,B,1,0.0909,The border checkpoint ledger opens at entry code,EM22,AM42,9.832670772448182
3,warm,B,2,0.1818,The meteorological buoy broadcasts on transponder code,BE73,UV50,14.583350562490523
3,warm,B,3,0.2727,The northern relay station operates under callsign,PW48,FM33,14.329908899962902
3,warm,B,4,0.3636,The radio operator's logbook continues in volume,PS59,LM86,13.53246534615755
3,warm,B,5,0.4545,The customs declaration quotes reference code,UM78,JK58,14.553534712118562
3,warm,B,6,0.5455,The hydrographic chart set reached edition,UP84,DA82,11.913933407515287
3,warm,B,7,0.6364,The assay laboratory furnace is a model,HL97,KS38,16.33935526595451
3,warm,B,8,0.7273,The archive microfilm reel is filed under shelf mark,AJ87,LF96,15.566534161567688
3,warm,B,9,0.8182,The seismograph at Ridge Camp reports as instrument,XY30,PW99,18.783192933769897
3,warm,B,10,0.9091,Ansel's transit permit was issued as document number,KD18,DD86,16.513803013134748
3,warm,B,11,1.0,The botanical specimen case holds accession number,RW71,LL96,16.012253497727215
3,mismatched,A,0,0.0,The shipment of core samples travelled under consignment code,HU79,SN92,-1.1751008033752441
3,mismatched,A,1,0.0909,The freight siding at Kelder appears on the plan as track,EM87,DV74,2.5575146675109863
3,mismatched,A,2,0.1818,The signal lamp housing takes fitting code,RW84,JP91,0.8560476303100586
3,mismatched,A,3,0.2727,The coastal watchtower is designated post,CV11,KP43,-4.488468170166016
3,mismatched,A,4,0.3636,The winter supply manifest lists lot number,RJ80,SK80,-0.2072446346282959
3,mismatched,A,5,0.4545,The ice core drilling rig was delivered as unit,HG70,LA63,-0.6301813125610352
3,mismatched,A,6,0.5455,The lighthouse relief roster follows schedule,TT70,UL12,-0.1393599510192871
3,mismatched,A,7,0.6364,The harbour pilot's licence shows registration code,NW29,NV85,-0.03459930419921875
3,mismatched,A,8,0.7273,The cartography office safe opens with combination,HW29,WE17,-1.0128669738769531
3,mismatched,A,9,0.8182,The reserve fuel depot is listed at site code,SN11,WW52,0.8125972747802734
3,mismatched,A,10,0.9091,The medical supply locker was closed with seal number,XC30,QM96,0.31186532974243164
3,mismatched,A,11,1.0,The diesel storage tank is stencilled vessel number,UB48,MV45,0.3761258125305176
3,mismatched,B,0,0.0,The expedition's spare sledge carries equipment tag,AJ70,UB96,16.31256312225014
3,mismatched,B,1,0.0909,The border checkpoint ledger opens at entry code,EM22,AM42,9.094793198630214
3,mismatched,B,2,0.1818,The meteorological buoy broadcasts on transponder code,BE73,UV50,14.620756121352315
3,mismatched,B,3,0.2727,The northern relay station operates under callsign,PW48,FM33,15.279473261907697
3,mismatched,B,4,0.3636,The radio operator's logbook continues in volume,PS59,LM86,12.43453499674797
3,mismatched,B,5,0.4545,The customs declaration quotes reference code,UM78,JK58,13.359571232809685
3,mismatched,B,6,0.5455,The hydrographic chart set reached edition,UP84,DA82,12.49400686705485
3,mismatched,B,7,0.6364,The assay laboratory furnace is a model,HL97,KS38,15.860293343430385
3,mismatched,B,8,0.7273,The archive microfilm reel is filed under shelf mark,AJ87,LF96,15.547205134294927
3,mismatched,B,9,0.8182,The seismograph at Ridge Camp reports as instrument,XY30,PW99,18.235607438487932
3,mismatched,B,10,0.9091,Ansel's transit permit was issued as document number,KD18,DD86,16.428863226203248
3,mismatched,B,11,1.0,The botanical specimen case holds accession number,RW71,LL96,16.212708802893758
4,cold,A,0,0.0,The survey team's theodolite bears serial number,HK23,DB17,0.0554959774017334
4,cold,A,1,0.0909,The freight siding at Kelder appears on the plan as track,EC18,VB79,1.4773178100585938
4,cold,A,2,0.1818,The meteorological buoy broadcasts on transponder code,AN80,LB25,-2.0212669372558594
4,cold,A,3,0.2727,The customs declaration quotes reference code,KB38,SK62,-0.41755104064941406
4,cold,A,4,0.3636,The hydrographic chart set reached edition,ST56,WG71,2.229001998901367
4,cold,A,5,0.4545,The coastal watchtower is designated post,GF49,GH66,0.8675136566162109
